Registro,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Driver,CurrentWeight,Componente,KM_Lap,Traction,Braking,Lateral,TyreStress,AsphaltGrip,AsphaltAbrasion,Downforce,Event,AVG
42,101.305,43,2,HARD,17,Mercedes,HAM,783.962963,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.2641
43,101.219,44,2,HARD,18,Mercedes,HAM,782.1481481,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.7773
44,100.008,45,2,HARD,19,Mercedes,HAM,780.3333333,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.44485
45,101.653,46,2,HARD,20,Mercedes,HAM,778.5185185,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.3784737
46,101.525,47,2,HARD,21,Mercedes,HAM,776.7037037,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.0484211
47,101.507,48,2,HARD,22,Mercedes,HAM,774.8888889,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.0486842
48,101.548,49,2,HARD,23,Mercedes,HAM,773.0740741,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,102.9504737
49,101.625,50,2,HARD,24,Mercedes,HAM,771.2592593,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,102.8666316
50,101.969,51,2,HARD,25,Mercedes,HAM,769.4444444,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.0323684
51,102.093,52,2,HARD,26,Mercedes,HAM,767.6296296,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.3493684
52,99.283,53,2,HARD,27,Mercedes,HAM,765.8148148,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.2232105
53,102.008,54,2,HARD,28,Mercedes,HAM,764,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.5967647
54,102.866,55,2,HARD,29,Mercedes,HAM,762.1851852,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,102.08
56,103.281,2,1,MEDIUM,5,Red Bull Racing,VER,858.3703704,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.2078947
57,103.245,3,1,MEDIUM,6,Red Bull Racing,VER,856.5555556,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.56735
58,103.308,4,1,MEDIUM,7,Red Bull Racing,VER,854.7407407,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.6763
59,103.506,5,1,MEDIUM,8,Red Bull Racing,VER,852.9259259,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.9136
60,103.799,6,1,MEDIUM,9,Red Bull Racing,VER,851.1111111,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.8169
61,103.256,7,1,MEDIUM,10,Red Bull Racing,VER,849.2962963,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.32185
62,103.206,8,1,MEDIUM,11,Red Bull Racing,VER,847.4814815,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.3538
63,103.303,9,1,MEDIUM,12,Red Bull Racing,VER,845.6666667,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,107.17985
64,103.442,10,1,MEDIUM,13,Red Bull Racing,VER,843.8518519,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.12195
65,103.404,11,1,MEDIUM,14,Red Bull Racing,VER,842.037037,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.1817
66,103.252,12,1,MEDIUM,15,Red Bull Racing,VER,840.2222222,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.2843
67,103.01,13,1,MEDIUM,16,Red Bull Racing,VER,838.4074074,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,108.3069
68,102.876,14,1,MEDIUM,17,Red Bull Racing,VER,836.5925926,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.7215
69,103.057,15,1,MEDIUM,18,Red Bull Racing,VER,834.7777778,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.92595
70,102.834,16,1,MEDIUM,19,Red Bull Racing,VER,832.962963,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.91625
71,103.06,17,1,MEDIUM,20,Red Bull Racing,VER,831.1481481,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.18495
