LapNumber,Stint,TyreLife,CurrentWeight,Traction,Braking,Lateral,TyreStress,AsphaltGrip,AsphaltAbrasion,Downforce,Componente_C1,Componente_C2,Componente_C3,Componente_C4,Componente_C5,Ensayo,Laptime
15,2,8,834.7777778,3,3,3,3,2,2,3,0,1,0,0,0,1,90.10906358333327
16,2,9,832.962963,3,3,3,3,2,2,3,0,1,0,0,0,1,90.17381166666678
17,2,10,831.1481481,3,3,3,3,2,2,3,0,1,0,0,0,1,90.12134042380946
18,2,11,829.3333333,3,3,3,3,2,2,3,0,1,0,0,0,1,90.01485899999979
19,2,12,827.5185185,3,3,3,3,2,2,3,0,1,0,0,0,1,89.9635316952381
20,2,13,825.7037037,3,3,3,3,2,2,3,0,1,0,0,0,1,90.1313850396827
21,2,14,823.8888889,3,3,3,3,2,2,3,0,1,0,0,0,1,90.19934563968272
22,2,15,822.0740741,3,3,3,3,2,2,3,0,1,0,0,0,1,90.24311014682571
23,2,16,820.2592593,3,3,3,3,2,2,3,0,1,0,0,0,1,90.43896822777829
24,2,17,818.4444444,3,3,3,3,2,2,3,0,1,0,0,0,1,90.31679089920672
25,2,18,816.6296296,3,3,3,3,2,2,3,0,1,0,0,0,1,90.39496844523838
26,2,19,814.8148148,3,3,3,3,2,2,3,0,1,0,0,0,1,90.56411378730198
27,2,20,813.0,3,3,3,3,2,2,3,0,1,0,0,0,1,89.96207217857155
28,2,21,811.1851852,3,3,3,3,2,2,3,0,1,0,0,0,1,89.47934723571394
29,2,22,809.3703704,3,3,3,3,2,2,3,0,1,0,0,0,1,89.46446150833305
30,2,23,807.5555556,3,3,3,3,2,2,3,0,1,0,0,0,1,89.36326267857099
31,2,24,805.7407407,3,3,3,3,2,2,3,0,1,0,0,0,1,89.32881271904733
32,2,25,803.9259259,3,3,3,3,2,2,3,0,1,0,0,0,1,89.30897050476166
33,2,26,802.1111111,3,3,3,3,2,2,3,0,1,0,0,0,1,89.47321430714263
34,2,27,800.2962963,3,3,3,3,2,2,3,0,1,0,0,0,1,89.602188107143
35,2,28,798.4814815,3,3,3,3,2,2,3,0,1,0,0,0,1,89.1478815904761
36,2,29,796.6666667,3,3,3,3,2,2,3,0,1,0,0,0,1,88.95803395238087
37,2,30,794.8518518,3,3,3,3,2,2,3,0,1,0,0,0,1,88.8716763523811
38,2,31,793.037037,3,3,3,3,2,2,3,0,1,0,0,0,1,88.71693960000029
39,2,32,791.2222222,3,3,3,3,2,2,3,0,1,0,0,0,1,88.7342507904763
40,2,33,789.4074074,3,3,3,3,2,2,3,0,1,0,0,0,1,88.74694545476196
41,2,34,787.5925926,3,3,3,3,2,2,3,0,1,0,0,0,1,88.95544115119084
42,2,35,785.7777778,3,3,3,3,2,2,3,0,1,0,0,0,1,88.89014417976215
43,2,36,783.962963,3,3,3,3,2,2,3,0,1,0,0,0,1,88.94672104880989
44,2,37,782.1481481,3,3,3,3,2,2,3,0,1,0,0,0,1,89.07737861547676
45,2,38,780.3333333,3,3,3,3,2,2,3,0,1,0,0,0,1,89.07641784523862
46,2,39,778.5185185,3,3,3,3,2,2,3,0,1,0,0,0,1,89.18038809761954
47,2,40,776.7037037,3,3,3,3,2,2,3,0,1,0,0,0,1,89.38084922380997
48,2,41,774.8888889,3,3,3,3,2,2,3,0,1,0,0,0,1,89.51126464047648
49,2,42,773.0740741,3,3,3,3,2,2,3,0,1,0,0,0,1,89.79605111904775
50,2,43,771.2592593,3,3,3,3,2,2,3,0,1,0,0,0,1,89.82559920476183
51,2,44,769.4444444,3,3,3,3,2,2,3,0,1,0,0,0,1,90.04268017142833
52,2,45,767.6296296,3,3,3,3,2,2,3,0,1,0,0,0,1,90.14102542857087
53,2,46,765.8148148,3,3,3,3,2,2,3,0,1,0,0,0,1,89.80539223333253
54,2,47,764.0,3,3,3,3,2,2,3,0,1,0,0,0,1,89.92394460952295
55,2,48,762.1851852,3,3,3,3,2,2,3,0,1,0,0,0,1,89.57206245714225
2,1,1,858.3703704,3,3,3,3,2,2,3,1,0,0,0,0,1,126.11830736666741
3,1,2,856.5555556,3,3,3,3,2,2,3,1,0,0,0,0,1,105.77894441507907
4,1,3,854.7407407,3,3,3,3,2,2,3,1,0,0,0,0,1,105.60496211578436
5,1,4,852.9259259,3,3,3,3,2,2,3,1,0,0,0,0,1,106.79424338571407
6,1,5,851.1111111,3,3,3,3,2,2,3,1,0,0,0,0,1,106.2213474456347
7,1,6,849.2962963,3,3,3,3,2,2,3,1,0,0,0,0,1,106.19763917936476
8,1,7,847.4814815,3,3,3,3,2,2,3,1,0,0,0,0,1,105.7365848031748
9,1,8,845.6666667,3,3,3,3,2,2,3,1,0,0,0,0,1,105.97595850559145
10,1,9,843.8518519,3,3,3,3,2,2,3,1,0,0,0,0,1,105.41371854927813
11,1,10,842.037037,3,3,3,3,2,2,3,1,0,0,0,0,1,104.93483417402626
12,1,11,840.2222222,3,3,3,3,2,2,3,1,0,0,0,0,1,105.57331679534646
13,1,12,838.4074074,3,3,3,3,2,2,3,1,0,0,0,0,1,105.81354511071447
14,1,13,836.5925926,3,3,3,3,2,2,3,1,0,0,0,0,1,104.29871897539672
15,1,14,834.7777778,3,3,3,3,2,2,3,1,0,0,0,0,1,104.76163942023841
16,1,15,832.962963,3,3,3,3,2,2,3,1,0,0,0,0,1,104.93967842258296
17,1,16,831.1481481,3,3,3,3,2,2,3,1,0,0,0,0,1,104.93662873210714
18,1,17,829.3333333,3,3,3,3,2,2,3,1,0,0,0,0,1,105.27083080476218
19,1,18,827.5185185,3,3,3,3,2,2,3,1,0,0,0,0,1,105.73911053849268
20,1,19,825.7037037,3,3,3,3,2,2,3,1,0,0,0,0,1,105.44103375515837
21,1,20,823.8888889,3,3,3,3,2,2,3,1,0,0,0,0,1,105.49570028730183
22,1,21,822.0740741,3,3,3,3,2,2,3,1,0,0,0,0,1,106.47694001984168
23,1,22,820.2592593,3,3,3,3,2,2,3,1,0,0,0,0,1,105.94829634920661
24,1,23,818.4444444,3,3,3,3,2,2,3,1,0,0,0,0,1,105.58530562222242
25,2,1,816.6296296,3,3,3,3,2,2,3,0,0,0,1,0,1,106.45452200000052
26,2,2,814.8148148,3,3,3,3,2,2,3,0,0,0,1,0,1,105.28441255952532
27,2,3,813.0,3,3,3,3,2,2,3,0,0,0,1,0,1,104.66729724999907
28,2,4,811.1851852,3,3,3,3,2,2,3,0,0,0,1,0,1,104.04787000000083
29,2,5,809.3703704,3,3,3,3,2,2,3,0,0,0,1,0,1,103.93703100000029
30,2,6,807.5555556,3,3,3,3,2,2,3,0,0,0,1,0,1,104.2604649999996
31,2,7,805.7407407,3,3,3,3,2,2,3,0,0,0,1,0,1,104.4455362500005
32,2,8,803.9259259,3,3,3,3,2,2,3,0,0,0,1,0,1,105.17952200000003
33,2,9,802.1111111,3,3,3,3,2,2,3,0,0,0,1,0,1,106.7172749999993
34,2,10,800.2962963,3,3,3,3,2,2,3,0,0,0,1,0,1,105.716343000001
35,2,11,798.4814815,3,3,3,3,2,2,3,0,0,0,1,0,1,105.58800800000084
36,2,12,796.6666667,3,3,3,3,2,2,3,0,0,0,1,0,1,105.26668069999947
37,2,13,794.8518518,3,3,3,3,2,2,3,0,0,0,1,0,1,103.67978899999984
38,2,14,793.037037,3,3,3,3,2,2,3,0,0,0,1,0,1,104.26394800000095
39,2,15,791.2222222,3,3,3,3,2,2,3,0,0,0,1,0,1,105.6677270000009
40,2,16,789.4074074,3,3,3,3,2,2,3,0,0,0,1,0,1,105.17412700000145
41,2,17,787.5925926,3,3,3,3,2,2,3,0,0,0,1,0,1,104.91812999999868
42,2,18,785.7777778,3,3,3,3,2,2,3,0,0,0,1,0,1,104.4893251666659
43,2,19,783.962963,3,3,3,3,2,2,3,0,0,0,1,0,1,105.20393200000113
